Symbol,Name,Industry,Combined Score,Sales Growth (1 Year),P/E,P/E Relative to Industry,Price/Book,Price/Book Relative to Industry,Price/Sales,Price/Sales Relative to Industry
HAS,"Hasbro, Inc.",Others,5.8,3,26.1,1,4.8,1.1,2.9,0.6
INCY,Incyte Corporation,Tech,5.8,14.7,42.5,1.6,7.3,1.1,8.8,1.1
KEY,KeyCorp,Financials,5.8,4.3,12.5,1,1.2,0.9,2.6,1
LKQ,LKQ Corporation,Others,5.8,5.3,20.5,1,2.2,1,0.9,1
QCOM,QUALCOMM Incorporated,Others,5.8,7.4,21.3,1.1,17.9,1.6,3.9,0.9
RF,Regions Financial Corporation,Financials,5.8,3.6,11.4,0.9,1.1,0.8,2.6,1
RHI,Robert Half International Inc.,Service,5.8,4.7,16.2,1,6.4,1,1.2,1
TDY,Teledyne Technologies Incorporated,Others,5.8,9,32.4,1.3,4.7,0.7,4.1,1.7
TMUS,"T-Mobile US, Inc.",Others,5.8,4.1,19.5,1,2.3,1,1.5,1
V,Visa Inc. Class A,Financials,5.8,11.5,33.5,1.7,12.7,0.7,17,2.1
XOM,Exxon Mobil Corporation,Oil,5.8,-8.3,20.8,0.6,1.5,0.7,1.2,0.5
ZTS,"Zoetis, Inc. Class A",Others,5.8,7.5,42.5,0.1,23.2,1.9,10.2,1.8
MU,"Micron Technology, Inc.",Others,5.8,-8.4,19.1,0.5,#N/A,#N/A,2.4,0.4
ACN,Accenture Plc Class A,Tech,5.6,2.6,30.4,0.9,9,1,3.5,0.8
CHTR,"Charter Communications, Inc. Class A",Others,5.6,4.9,65.1,2,3.2,0.7,2.4,0.8
CMA,Comerica Incorporated,Financials,5.6,5.7,9.1,0.7,1.4,1,2.9,1.1
CPRT,"Copart, Inc.",Service,5.6,8,31.8,0.8,8.8,0.9,10.1,1.6
CTLT,Catalent Inc,Others,5.6,22.9,64.5,1.1,4.1,1.5,3.6,1.4
DAL,"Delta Air Lines, Inc.",Air,5.6,5.8,8,0.9,2.4,1.1,0.8,1
